Anabaena variabilis ATCC 29413,240292
Bifidobacterium adolescentis ATCC 15703,367928
Bifidobacterium longum NCC2705,206672
Burkholderia xenovorans LB400,266265
Candidatus Carsonella ruddii PV,387662
Ehrlichia chaffeensis str. Arkansas,205920
Enterococcus faecalis V583,226185
Nostoc sp. PCC 7120,103690
Prochlorococcus marinus str. AS9601,146891
Prochlorococcus marinus subsp. marinus str. CCMP1375,167539
Prochlorococcus marinus subsp. pastoris str. CCMP1986,59919
Prochlorococcus marinus str. MIT 9301,167546
Prochlorococcus marinus str. MIT 9303,59922
Prochlorococcus marinus str. MIT 9313,74547
Prochlorococcus marinus str. MIT 9515,167542
Prochlorococcus marinus str. NATL1A,167555
Prochlorococcus marinus str. NATL2A,59920
Streptococcus agalactiae 2603V/R,208435
Streptococcus agalactiae A909,205921
Streptococcus agalactiae NEM316,211110
Synechococcus elongatus PCC 6301,269084
Synechococcus elongatus PCC 7942,1140
Streptococcus pyogenes str. Manfredo,160491
Streptococcus pyogenes MGAS10270,370552
Streptococcus pyogenes MGAS10394,286636
Streptococcus pyogenes MGAS10750,370554
Streptococcus pyogenes MGAS2096,370553
Streptococcus pyogenes MGAS315,198466
Streptococcus pyogenes MGAS5005,293653
Streptococcus pyogenes MGAS6180,319701
Streptococcus pyogenes MGAS8232,186103
Streptococcus pyogenes MGAS9429,370551
Streptococcus pyogenes M1 GAS,160490
Streptococcus pyogenes SSI-1,193567
Synechococcus sp. CC9605,110662
Synechococcus sp. CC9902,316279
Synechocystis sp. PCC 6803,1148
Synechococcus sp. WH 7803,32051
Synechococcus sp. WH 8102,84588
Thermosynechococcus elongatus BP-1,197221
Trichodesmium erythraeum IMS101,203124
Treponema pallidum subsp. pallidum str. Nichols,243276
Arthrobacter aurescens TC1,290340
Arthrobacter sp. FB24,290399
Bifidobacterium longum DJO10A,205913
Burkholderia phytofirmans PsJN,398527
Candidatus Sulcia muelleri GWSS,444179
Clostridium kluyveri DSM 555,431943
Cyanothece sp. ATCC 51142,43989
Gluconacetobacter diazotrophicus PAl 5,272568
Geobacter lovleyi SZ,398767
Herpetosiphon aurantiacus ATCC 23779,316274
Nostoc punctiforme PCC 73102,63737
Opitutus terrae PB90-1,452637
Prochlorococcus marinus str. MIT 9211,93059
Renibacterium salmoninarum ATCC 33209,288705
Synechococcus sp. PCC 7002,32049
Bifidobacterium animalis subsp. lactis AD011,442563
Bifidobacterium animalis subsp. lactis Bl-04,580050
Bifidobacterium animalis subsp. lactis DSM 10140,555970
Bifidobacterium longum subsp. infantis ATCC 15697,391904
Corynebacterium aurimucosum ATCC 700975,548476
Cyanothece sp. PCC 7424,65393
Cyanothece sp. PCC 8801,41431
Streptococcus pyogenes NZ131,471876
Actinosynnema mirum DSM 43827,446462
Arthrobacter chlorophenolicus A6,452863
Bifidobacterium animalis subsp. lactis BB-12,552531
Bifidobacterium animalis subsp. lactis V9,573236
Bifidobacterium dentium Bd1,401473
Blattabacterium sp.,34099
Bifidobacterium longum subsp. longum JDM301,759350
Coraliomargarita akajimensis DSM 45221,583355
Chitinophaga pinensis DSM 2588,485918
Cyanothece sp. PCC 8802,395962
Candidatus Sulcia muelleri CARI,706194
Candidatus Sulcia muelleri DMIN,641892
Treponema pallidum subsp. pallidum str. Chicago,666714
Treponema pallidum subsp. pallidum SS14,455434
Candidatus Zinderia insecticola CARI,871271
cyanobacterium UCYN-A,713887
Bifidobacterium animalis subsp. lactis BLC1,1075106
Bifidobacterium animalis subsp. lactis CNCM I-2494,1042403
Bifidobacterium bifidum PRL2010,702459
Bifidobacterium bifidum S17,883062
Bifidobacterium breve ACS-071-V-Sch8b,866777
Bifidobacterium breve UCC2003,326426
Bifidobacterium longum subsp. longum KACC 91563,1035817
Bifidobacterium longum subsp. longum BBMN68,890402
Bifidobacterium longum subsp. longum F8,722911
Bifidobacterium longum subsp. longum JCM 1217,565042
Bifidobacterium longum subsp. infantis 157F,565040
Cyanothece sp. PCC 7822,497965
Desulfobacca acetoxidans DSM 11109,880072
'Nostoc azollae' 0708,551115
Planctomyces brasiliensis DSM 5305,756272
Spirochaeta sp. Buddy,158189
Treponema brennaborense DSM 12168,906968
Treponema paraluiscuniculi Cuniculi A,545776
Treponema succinifaciens DSM 2489,869209
Arthrobacter phenanthrenivorans Sphe3,930171
Candidatus Tremblaya princeps PCIT,891398
Candidatus Tremblaya princeps PCVAL,1053648
Phycisphaera mikurensis NBRC 102666,1142394
Bifidobacterium bifidum BGN4,484020
Treponema pallidum subsp. pertenue str. SamoaD,491078
Treponema pallidum subsp. pertenue str. CDC2,491079
Treponema pallidum subsp. pertenue str. Gauthier,491080
Bifidobacterium animalis subsp. animalis ATCC 25527,703613
Streptococcus pyogenes Alab49,487215
Treponema pallidum subsp. pallidum DAL-1,491081
Streptococcus pyogenes MGAS15252,798300
Sphaerochaeta pleomorpha str. Grapes,158190
Bifidobacterium animalis subsp. lactis B420,1168290
Bifidobacterium animalis subsp. lactis Bi-07,742729
Candidatus Carsonella ruddii CE isolate Thao2000,1202536
